term8
"[18, 62, '76']","[17, 26, '32']",[1]
"[18, 78, '92']","[16, 14, '20']",[1]
"[16, 15, '21']","[15, 89, '103']",[1]
"[17, 51, '61']","[15, 132, '146']",[1]
"[18, 65, '79']","[16, 21, '27']",[1]
"[18, 67, '81']","[17, 55, '65']",[1]
"[17, 53, '63']","[16, 23, '29']",[1]
"[17, 36, '42']","[16, 24, '30']",[1]
"[16, 2, '3']","[15, 128, '142']",[1]
"[17, 39, '45']","[16, 16, '22']",[1]
"[17, 38, '44']","[15, 85, '99']",[1]
"[17, 44, '54']","[16, 12, '18']",[1]
"[17, 25, '31']","[16, 22, '28']",[1]
"[16, 11, '17']","[15, 129, '143']",[1]
"[18, 72, '86']","[16, 19, '25']",[1]
"[17, 37, '43']","[16, 8, '9']",[1]
"[16, 17, '23']","[15, 131, '145']",[1]
"[18, 60, '74']","[16, 20, '26']",[1]
"[17, 33, '39']","[16, 4, '5']",[1]
"[17, 46, '56']","[16, 0, '1']",[1]
"[16, 13, '19']","[15, 87, '101']",[1]
"[18, 73, '87']","[16, 7, '8']",[1]
"[17, 35, '41']","[16, 3, '4']",[1]
"[17, 27, '33']","[16, 5, '6']",[1]
"[16, 10, '16']","[15, 88, '102']",[1]
"[16, 1, '2']","[15, 86, '100']",[1]
"[16, 18, '24']","[15, 127, '141']",[1]
"[16, 6, '7']","[15, 130, '144']",[1]
"[17, 28, '34']","[16, 9, '15']",[1]
"[19, 123, '137']","[17, 45, '55']",[0]
"[19, 104, '118']","[17, 40, '46']",[0]
"[19, 125, '139']","[17, 48, '58']",[0]
"[19, 97, '111']","[18, 84, '98']",[0]
"[19, 108, '122']","[18, 77, '91']",[0]
"[19, 109, '123']","[18, 80, '94']",[0]
"[19, 101, '115']","[18, 66, '80']",[0]
"[19, 107, '121']","[17, 47, '57']",[0]
"[19, 99, '113']","[17, 42, '48']",[0]
"[19, 121, '135']","[17, 41, '47']",[0]
"[19, 118, '132']","[17, 34, '40']",[0]
"[19, 102, '116']","[17, 32, '38']",[0]
"[19, 122, '136']","[18, 74, '88']",[0]
"[19, 103, '117']","[18, 76, '90']",[0]
"[19, 126, '140']","[17, 49, '59']",[0]
"[19, 111, '125']","[18, 58, '68']",[0]
"[19, 120, '134']","[18, 70, '84']",[0]
"[19, 124, '138']","[18, 69, '83']",[0]
"[19, 94, '108']","[18, 61, '75']",[0]
"[19, 119, '133']","[17, 52, '62']",[0]
"[19, 100, '114']","[17, 56, '66']",[0]
"[19, 105, '119']","[17, 57, '67']",[0]
"[19, 92, '106']","[18, 59, '73']",[0]
"[19, 96, '110']","[18, 68, '82']",[0]
"[19, 90, '104']","[18, 81, '95']",[0]
"[19, 113, '127']","[18, 79, '93']",[0]
"[19, 106, '120']","[17, 29, '35']",[0]
"[19, 116, '130']","[17, 54, '64']",[0]
"[19, 115, '129']","[17, 31, '37']",[0]
"[19, 114, '128']","[18, 75, '89']",[0]
"[19, 117, '131']","[18, 83, '97']",[0]
"[19, 91, '105']","[18, 64, '78']",[0]
"[19, 98, '112']","[18, 63, '77']",[0]
"[19, 110, '124']","[17, 50, '60']",[0]
"[19, 93, '107']","[18, 71, '85']",[0]
"[19, 95, '109']","[18, 82, '96']",[0]
"[19, 112, '126']","[17, 43, '49']",[0]
